timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666096534361,216,Request 9,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1666096534594,193,Request 3,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1666096534787,133,Request 1,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1666096534921,266,Request 8,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1666096535187,278,Request 10,,,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
